RET16EC020,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A+, EC230,B, EC206,B, EC232,A+, EC208,B+, MA204,O,HS210,C
RET16EC021,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B, EC206,B+, EC232,A, EC208,B+, MA204,A+,HS210,B
RET16EC022,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,B, EC230,C, EC206,B, EC232,B, EC208,B, MA204,B,HS210,C
RET16EC023,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,F, EC230,P, EC206,P, EC232,P, EC208,C, MA204,F,HS210,C
RET16EC024,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B, EC206,B+, EC232,B+, EC208,B+, MA204,O,HS210,C
RET16EC025,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,C, EC230,B+, EC206,C, EC232,B, EC208,C, MA204,C,HS210,P
RET16EC026,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B, EC230,C, EC206,C, EC232,B, EC208,B, MA204,A+,HS210,B
RET16EC027,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A, EC230,B+, EC206,A+, EC232,A, EC208,A+, MA204,A,HS210,A
RET16EC028,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B+, EC230,B+, EC206,B+, EC232,A, EC208,B, MA204,O,HS210,B
RET16EC029,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B+, EC230,C, EC206,C, EC232,A, EC208,C, MA204,O,HS210,B
